objectid,arrest_num,inc_num,charge_seq_num,charge_code,charge_desc,nibrs_code,nibrs_desc,arr_date,gender_desc,race_desc,ethnicity_desc,age,juvenile,hour_of_day,day_of_week,year,quarter,month,neighborhood,district
92107,20200002505,202010794,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-02-09,MALE,WHITE,NOT HISPANIC OR LATINX,23,NO,1,1,2020,1,2,West Roxbury,E5
92108,20200002518,172097099,1,21411,OTHER,Unknown,OTHER,2020-01-25,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,20,NO,9,7,2020,1,1,Hyde Park,E18
92109,20200002518,172097099,2,41311,OTHER,Unknown,OTHER,2020-01-25,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,20,NO,9,7,2020,1,1,Hyde Park,E18
92176,20200002806,202009330,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-02-04,FEMALE,WHITE,NOT HISPANIC OR LATINX,44,NO,6,3,2020,1,2,Roxbury,B2
92177,20200003014,192103910,1,12112,UNARMED ASSAULT,13B,SIMPLE ASSAULT,2020-02-09,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,45,NO,0,1,2020,1,2,Unknown,Unknown
92178,20200003218,202009104,1,11929,RESISTING ARREST,90C,DISORDERLY CONDUCT,2020-02-03,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,21,NO,13,2,2020,1,2,Hyde Park,E18
92179,20200003218,202009104,2,31211,OTHER,Unknown,OTHER,2020-02-03,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,21,NO,13,2,2020,1,2,Hyde Park,E18
92180,20200003218,202009104,3,31221,OPERATING AFTER REVOCATION OR SUSPENSION,NR,MOTOR VEHICLE VIOLATIONS,2020-02-03,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,21,NO,13,2,2020,1,2,Hyde Park,E18
92182,20200003318,202009432,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-02-04,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,55,NO,13,3,2020,1,2,Hyde Park,E18
92183,20200003413,202008268,1,12611,OTHER,Unknown,OTHER,2020-01-31,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,16,YES,9,6,2020,1,1,Jamaica Plain,E13
