objectid,incident_num,incident_date,district,ballistics_evidence,hour_of_day,day_of_week,year,quarter,month,neighborhood
4709,202040446,2020-06-10,B3,1,16,4,2020,2,6,Mattapan
7856,I152068863,2015-08-20,B2,0,3,5,2015,3,8,Mission Hill
7857,I152068794,2015-08-20,E13,1,20,4,2015,3,8,Jamaica Plain
7858,I152068861,2015-08-20,B3,0,0,5,2015,3,8,Dorchester
7859,I152068733,2015-08-19,B2,0,17,4,2015,3,8,Roxbury
7860,I152069162,2015-08-21,B2,1,12,6,2015,3,8,Roxbury
7861,I152069158,2015-08-21,D14,0,23,5,2015,3,8,Brighton
7862,I152069137,2015-08-21,B2,0,20,5,2015,3,8,Dorchester
7863,I152068925,2015-08-20,E13,0,10,5,2015,3,8,Jamaica Plain
7864,I152069775,2015-08-23,B3,0,1,1,2015,3,8,Dorchester
7865,I152069776,2015-08-24,D4,0,0,2,2015,3,8,South End
7866,I152069808,2015-08-23,B2,0,1,1,2015,3,8,Roxbury
7867,I152069782,2015-08-23,C11,1,1,1,2015,3,8,Dorchester
7868,I152069518,2015-08-22,B3,1,3,7,2015,3,8,Dorchester
7869,I152069499,2015-08-22,E13,0,1,7,2015,3,8,Jamaica Plain
7870,I152070017,2015-08-24,B3,1,23,1,2015,3,8,Dorchester
7871,I152070124,2015-08-24,E13,0,13,2,2015,3,8,Mission Hill
7872,I152070304,2015-08-25,B3,1,23,2,2015,3,8,Dorchester
7873,I152070045,2015-08-24,E13,0,23,1,2015,3,8,Jamaica Plain
7874,I152070554,2015-08-25,B3,1,17,3,2015,3,8,Mattapan
7875,I152069847,2015-08-25,A15,0,10,3,2015,3,8,Charlestown
7876,I152070956,2015-08-27,B2,0,23,4,2015,3,8,Roxbury
7877,I152070717,2015-08-24,D4,0,15,2,2015,3,8,Fenway
7878,I152071281,2015-08-28,B3,0,2,6,2015,3,8,Dorchester
7879,I152066291,2015-08-11,D4,0,0,3,2015,3,8,Fenway
7880,I152072158,2015-08-31,B3,1,1,2,2015,3,8,Dorchester
7881,I152072157,2015-08-31,B3,1,1,2,2015,3,8,Dorchester
7882,I152071889,2015-08-30,C11,0,3,1,2015,3,8,Dorchester
7883,I152071890,2015-08-30,B3,0,2,1,2015,3,8,Mattapan
7884,I152071633,2015-08-29,B3,1,7,7,2015,3,8,Dorchester
7885,I152071602,2015-08-29,B3,1,3,7,2015,3,8,Dorchester
7886,I152071626,2015-08-29,B3,0,3,7,2015,3,8,Dorchester
7887,I152071617,2015-08-29,C11,0,5,7,2015,3,8,Dorchester
7888,I152071567,2015-08-29,B3,0,0,7,2015,3,8,Dorchester
7889,I152071600,2015-08-31,D14,0,3,2,2015,3,8,Brighton
7890,I152071601,2015-08-29,A1,0,2,7,2015,3,8,Bay Village
7891,I152071586,2015-08-29,B2,0,1,7,2015,3,8,Dorchester
7892,I152072489,2015-09-01,A15,0,0,3,2015,3,9,Charlestown
7893,I152072403,2015-08-31,B3,0,18,2,2015,3,8,Mattapan
7894,I152072098,2015-08-31,B2,1,20,1,2015,3,8,Dorchester
7895,I152072471,2015-09-01,B2,0,22,2,2015,3,8,Roxbury
7896,I152073129,2015-09-03,B2,0,3,5,2015,3,9,Dorchester
7897,I152073095,2015-09-03,E13,1,23,4,2015,3,9,Jamaica Plain
7898,I152073048,2015-09-03,C11,1,22,4,2015,3,9,Dorchester
7899,I152073391,2015-09-04,B2,1,22,5,2015,3,9,Dorchester
7900,I152073244,2015-09-03,B2,1,14,5,2015,3,9,Dorchester
7901,I152073669,2015-09-05,C6,0,20,6,2015,3,9,South Boston
7902,I152073950,2015-09-06,E13,0,2,1,2015,3,9,Jamaica Plain
7903,I152073972,2015-09-06,B2,0,2,1,2015,3,9,Roxbury
7904,I152073929,2015-09-06,B3,1,23,7,2015,3,9,Dorchester
7905,I152073983,2015-09-06,E13,0,4,1,2015,3,9,Jamaica Plain
7906,I152074132,2015-09-06,B3,0,19,1,2015,3,9,Mattapan
7907,I152074220,2015-09-07,B2,0,3,2,2015,3,9,Roxbury
7908,I152074234,2015-09-07,B2,1,5,2,2015,3,9,Dorchester
7909,I152074423,2015-09-08,B3,0,21,2,2015,3,9,Dorchester
7910,I152073927,2015-09-06,A15,0,23,7,2015,3,9,Charlestown
7911,I152073662,2015-09-04,B3,0,19,6,2015,3,9,Mattapan
7912,I152074777,2015-09-09,D4,1,0,4,2015,3,9,South End
7913,I152074765,2015-09-09,C11,1,23,3,2015,3,9,Dorchester
7914,I152075095,2015-09-10,E13,0,2,5,2015,3,9,Jamaica Plain
7915,I152075082,2015-09-10,B2,0,23,4,2015,3,9,Dorchester
7916,I152073181,2015-09-02,A15,0,10,4,2015,3,9,Charlestown
7917,I152075105,2015-09-10,E13,0,4,5,2015,3,9,Jamaica Plain
7918,I152075103,2015-09-10,B2,0,3,5,2015,3,9,Roxbury
7919,I152075660,2015-09-12,E18,1,23,6,2015,3,9,Hyde Park
7920,I152076280,2015-09-14,B2,0,6,2,2015,3,9,Dorchester
7921,I152075717,2015-09-12,E13,0,4,7,2015,3,9,Jamaica Plain
7922,I152075615,2015-09-11,B3,0,19,6,2015,3,9,Dorchester
7923,I152076250,2015-09-14,E18,0,23,1,2015,3,9,Mattapan
7924,I152076240,2015-09-14,B2,0,22,1,2015,3,9,Roxbury
7925,I152076037,2015-09-13,C6,0,6,1,2015,3,9,South Boston
7926,I152075909,2015-09-12,B2,0,19,7,2015,3,9,Roxbury
7927,I152073441,2015-09-12,B2,0,4,7,2015,3,9,Roxbury
7928,I152075524,2015-09-06,D14,0,2,1,2015,3,9,Allston
7929,I152076408,2015-09-14,C6,1,14,2,2015,3,9,South Boston
7930,I152076440,2015-09-14,B2,1,15,2,2015,3,9,Roxbury
7931,I152076660,2015-09-15,B2,1,10,3,2015,3,9,Dorchester
7932,I152076931,2015-09-16,B3,1,7,4,2015,3,9,Dorchester
7933,I152073976,2015-09-06,B3,0,2,1,2015,3,9,Dorchester
7934,I152077515,2015-09-18,B3,1,0,6,2015,3,9,Mattapan
7935,I152077489,2015-09-18,B2,1,22,5,2015,3,9,Roxbury
7936,I152077495,2015-09-18,B2,0,22,5,2015,3,9,Roxbury
7937,I152077242,2015-09-17,C11,0,6,5,2015,3,9,Dorchester
7938,I152078473,2015-09-21,B3,1,1,2,2015,3,9,Dorchester
7939,I152078421,2015-09-20,C11,1,19,1,2015,3,9,Dorchester
7940,I152078346,2015-09-20,B3,1,15,1,2015,3,9,Dorchester
7941,I152078249,2015-09-20,E5,0,8,1,2015,3,9,Roslindale
7942,I152078240,2015-09-20,A1,1,6,1,2015,3,9,Downtown
7943,I152078213,2015-09-20,B2,0,2,1,2015,3,9,Roxbury
7944,I152078140,2015-09-20,A7,0,21,7,2015,3,9,East Boston
7945,I152078095,2015-09-19,E13,0,18,7,2015,3,9,Jamaica Plain
7946,I152077878,2015-09-19,E18,0,4,7,2015,3,9,Roslindale
7947,I152077779,2015-09-18,E13,1,7,6,2015,3,9,Jamaica Plain
7948,I152077556,2015-09-18,B3,1,22,5,2015,3,9,Dorchester
7949,I152078611,2015-09-21,E18,1,13,2,2015,3,9,Hyde Park
7950,I152078758,2015-09-22,B2,1,21,2,2015,3,9,Roxbury
7951,I152078779,2015-09-22,E13,0,22,2,2015,3,9,Roxbury
7952,I152079115,2015-09-23,E13,1,23,3,2015,3,9,Jamaica Plain
7953,I152079086,2015-09-23,B2,1,21,3,2015,3,9,Roxbury
7954,I152079029,2015-09-22,C11,1,18,3,2015,3,9,Dorchester
7955,I152079381,2015-09-24,B3,0,21,4,2015,3,9,Dorchester
7956,I152079554,2015-09-24,B2,1,13,5,2015,3,9,Roxbury
7957,I152079700,2015-09-25,D4,1,20,5,2015,3,9,Roxbury
7958,I152079786,2015-09-25,E18,1,7,6,2015,3,9,Hyde Park
7959,I152080103,2015-09-26,B3,1,1,7,2015,3,9,Mattapan
7960,I152080145,2015-09-26,B2,0,6,7,2015,3,9,Dorchester
7961,I152080107,2015-09-26,C11,1,1,7,2015,3,9,Dorchester
7962,I152080071,2015-09-27,E13,0,22,7,2015,3,9,Jamaica Plain
7963,I152080066,2015-09-26,C6,1,21,6,2015,3,9,South Boston
7964,I152080661,2015-09-28,B2,0,23,1,2015,3,9,Mission Hill
7965,I152080680,2015-09-28,D14,1,23,1,2015,3,9,Allston
7966,I152080947,2015-09-29,B2,0,1,3,2015,3,9,Dorchester
7967,I152080935,2015-09-29,E13,1,23,2,2015,3,9,Jamaica Plain
7968,I152080950,2015-09-29,B3,1,1,3,2015,3,9,Dorchester
